Currency,CN_R2_Raw,CN_R2_Scaled,PCA_R2,AR1_R2
EUR,0.0,9.981747214671266e-06,0.26631356010921237,0.000755355357063614
GBP,0.0,0.00017748399986805552,0.05318920022864193,0.0017519804041219444
JPY,0.0,0.001449822634631004,0.8331806707369036,0.00020610342589977293
CHF,0.0,2.347473501385089e-05,0.5209768627015563,0.0027851397423906965
AUD,0.0,0.008074601119929858,0.8534084434063597,0.0002035272408114075
CAD,0.0,0.0,0.5136638385499808,0.0007751323890664574
NZD,0.0,0.0036475410121262763,0.9046492008526352,9.007572344010839e-06
SEK,0.0,0.004718979159747283,0.7306545475472459,0.0015613699137126957
NOK,0.0,0.11803941311875321,0.5013002859140053,0.18615181214887488
